pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,exportdt
PM-10 (1987),,ARIZONA,AZ,04,015,Mohave Co,,,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,ARIZONA,AZ,04,019,Pima Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,ARIZONA,AZ,04,019,Pima Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Sulfur Dioxide (1971),,ARIZONA,AZ,04,019,Pima Co,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (2015),,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
Lead (2008),,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,ARIZONA,AZ,04,021,Pinal Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-2.5 (2006),,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Sulfur Dioxide (1971),,ARIZONA,AZ,04,021,Pinal Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Sulfur Dioxide (2010),,ARIZONA,AZ,04,021,Pinal Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,ARIZONA,AZ,04,023,Santa Cruz Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-2.5 (2006),,ARIZONA,AZ,04,023,Santa Cruz Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (2015),,ARIZONA,AZ,04,027,Yuma Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
PM-10 (1987),,ARIZONA,AZ,04,027,Yuma Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,06,001,Alameda Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,001,Alameda Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,001,Alameda Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,001,Alameda Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,CALIFORNIA,CA,06,001,Alameda Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (2006),,CALIFORNIA,CA,06,001,Alameda Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,005,Amador Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,005,Amador Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,06,007,Butte Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,007,Butte Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,007,Butte Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,007,Butte Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,CALIFORNIA,CA,06,007,Butte Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (2006),,CALIFORNIA,CA,06,007,Butte Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,009,Calaveras Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,009,Calaveras Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,009,Calaveras Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,06,013,Contra Costa Co,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,013,Contra Costa Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,013,Contra Costa Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,013,Contra Costa Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,CALIFORNIA,CA,06,013,Contra Costa Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (2006),,CALIFORNIA,CA,06,013,Contra Costa Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,06,017,El Dorado Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,017,El Dorado Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,017,El Dorado Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,017,El Dorado Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
Carbon Monoxide (1971),,CALIFORNIA,CA,06,017,El Dorado Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (2006),,CALIFORNIA,CA,06,017,El Dorado Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,CALIFORNIA,CA,06,019,Fresno Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,CALIFORNIA,CA,06,019,Fresno Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,CALIFORNIA,CA,06,019,Fresno Co,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2/28/21
PM-2.5 (2006),,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,2/28/21
PM-2.5 (2012),,CALIFORNIA,CA,06,019,Fresno Co,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,2/28/21
